Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
324,0,0.020051,-0.12846,-1.806897,262.985138,-508.031616,180.803818
325,0,0.019583,-0.128927,-1.806622,262.999664,-508.016815,180.803818
326,0,0.01921,-0.129035,-1.806678,263.011688,-507.994232,180.806244
327,0,0.018897,-0.128935,-1.80705,263.024139,-507.963074,180.809402
328,0,0.01874,-0.128814,-1.807318,263.029022,-507.940399,180.79985
329,0,0.018163,-0.129028,-1.807045,263.065643,-507.91806,180.816803
330,0,0.017334,-0.129224,-1.806893,263.087036,-507.893921,180.819595
331,0,0.017806,-0.129574,-1.807753,263.082916,-507.87027,180.806595
332,0,0.016969,-0.129835,-1.806803,263.115753,-507.853516,180.816849
333,0,0.01607,-0.129691,-1.807366,263.13269,-507.830444,180.824036
334,0,0.016246,-0.129816,-1.807565,263.132751,-507.817383,180.806076
335,0,0.015952,-0.129857,-1.807329,263.175232,-507.802979,180.820404
336,0,0.015641,-0.129359,-1.807568,263.191467,-507.785553,180.824997
337,0,0.015472,-0.129577,-1.807769,263.184937,-507.77124,180.807114
338,0,0.014592,-0.129375,-1.807382,263.220306,-507.777679,180.82663
339,0,0.014089,-0.129252,-1.807414,263.229919,-507.769897,180.81897
340,0,0.014215,-0.129024,-1.807299,263.22699,-507.762207,180.81633
341,0,0.014087,-0.129111,-1.807351,263.253052,-507.764343,180.82663
342,0,0.01388,-0.12912,-1.807309,263.263367,-507.766022,180.821854
343,0,0.014219,-0.128829,-1.807652,263.24881,-507.773529,180.810211
344,0,0.013744,-0.129207,-1.806826,263.273895,-507.792725,180.829453
345,0,0.014245,-0.128931,-1.806976,263.274078,-507.795929,180.815857
346,0,0.01438,-0.128598,-1.807497,263.255432,-507.814178,180.80864
347,0,0.014265,-0.128593,-1.807176,263.270233,-507.83075,180.818436
348,0,0.014676,-0.128393,-1.807492,263.254669,-507.842651,180.806564
349,0,0.01498,-0.12803,-1.807793,263.242767,-507.864777,180.802979
350,0,0.015023,-0.127794,-1.807429,263.250153,-507.884491,180.808655
351,0,0.015579,-0.127618,-1.807298,263.215271,-507.901428,180.798721
352,0,0.016509,-0.127446,-1.807618,263.21225,-507.91806,180.799667
353,0,0.016351,-0.127056,-1.807847,263.19931,-507.948578,180.800293
354,0,0.016961,-0.127648,-1.80737,263.181824,-507.976715,180.7892
355,0,0.017446,-0.127281,-1.807149,263.160339,-508.005127,180.785034
356,0,0.01734,-0.126711,-1.807067,263.156128,-508.023621,180.797897
357,0,0.017803,-0.12726,-1.80652,263.134735,-508.048828,180.791168
358,0,0.018282,-0.126968,-1.806865,263.130707,-508.057068,180.801453
359,0,0.018568,-0.126991,-1.806868,263.11084,-508.087341,180.796509
360,0,0.019262,-0.12672,-1.807232,263.081482,-508.102844,180.786133
361,0,0.019385,-0.126756,-1.80677,263.074646,-508.12262,180.788254
362,0,0.019684,-0.126903,-1.80683,263.049561,-508.129883,180.784302
363,0,0.020389,-0.127178,-1.807051,263.028259,-508.132935,180.779556
364,0,0.020399,-0.126764,-1.806911,263.027374,-508.144745,180.787048
365,0,0.021066,-0.127135,-1.807219,263.011261,-508.150818,180.78421
366,0,0.021303,-0.127182,-1.806825,263.008148,-508.152252,180.782516
367,0,0.020872,-0.126747,-1.807043,262.981354,-508.15564,180.782974
368,0,0.021357,-0.127177,-1.807101,262.963593,-508.153748,180.777939
369,0,0.021281,-0.127448,-1.806638,262.966888,-508.145752,180.785995
370,0,0.021168,-0.127353,-1.807149,262.959167,-508.141052,180.789749
371,0,0.020919,-0.127613,-1.806718,262.957977,-508.134369,180.785477
